Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J8         *MOLEX_47352-1001_47352-1001(Primary)     27.3422mm     10.3222mm     27.3672mm     10.0972mm     25.4272mm      6.4372mm  B        180.00 microSD        
FB11       SMD_R(0603)         35.9292mm     44.5262mm     35.9292mm     44.5262mm      35.218mm     44.5262mm  B        360.00 220R/100MHz    
FB12       SMD_R(0603)         30.0773mm     55.7825mm     30.0773mm     55.7825mm     29.3661mm     55.7825mm  T        360.00 220R/100MHz    
FB13       SMD_R(0603)         64.0234mm     67.0576mm     64.0234mm     67.0576mm     63.3122mm     67.0576mm  B        360.00 220R/100MHz    
FB14       SMD_R(0603)         68.2144mm      71.401mm     68.2144mm      71.401mm     68.2144mm     70.6898mm  B         90.00 220R/100MHz    
FB15       SMD_R(0603)         64.0234mm     68.4292mm     64.0234mm     68.4292mm     64.7346mm     68.4292mm  B        180.00 220R/100MHz    
J1         10118194-0001LF          65mm       4.251mm          65mm       4.251mm      63.675mm       5.601mm  T        180.00 10118194-0001LF
J2         JST_S2B-PH-SM4-TB(LF)(SN)          75mm      4.8974mm          75mm      7.7724mm          74mm      7.7724mm  T        360.00 2 Pin Connector
J4         78646-3001          42.2542mm      9.8036mm     42.2302mm      9.7004mm     39.5542mm     16.6686mm  B        270.00 78646-3001     
J5         FCI_10051922-3010ELF          40mm      55.543mm          40mm        55.5mm       45.75mm     54.1968mm  T        360.00 FFC2B28-24-G   
J6         Header-2.54m-4pin      78.232mm     15.4432mm      78.232mm     15.4432mm      78.232mm     11.6332mm  T        180.00 SWD            
J7         Header-2.54m-2*2pin     20.1422mm     43.3324mm     20.1422mm     43.3324mm     21.4122mm     42.0624mm  T        180.00 2*2 Pin Header 
J9         Header-2.54m-5pin      72.888mm      78.359mm      72.888mm      78.359mm      67.808mm      78.359mm  T         90.00 Nu-Link Interface
L1         IND_SRN4018TA-1R5M     60.0682mm     15.1552mm     59.9666mm     15.0536mm     60.0682mm     13.9702mm  T         90.00 SRN4018TA-1R5M 
L2         IND_LQH32PN2R2NNCL     65.1736mm     22.8768mm     65.1736mm     22.8768mm     66.4487mm     22.8768mm  T        180.00 LQH32PN2R2NNCL 
L8         SMD_R(0402)         16.7272mm     68.2875mm     16.7272mm     68.2875mm     16.7272mm     68.7195mm  T        270.00 0R             
LDR1       PHODET_PDV-P8103          25mm          70mm          25mm          70mm        23.3mm          70mm  T        360.00 PDV-P8104      
MIC1       MIC_CMEJ-0627-42-P          55mm          69mm          55mm          70mm       54.05mm          69mm  T        360.00 CMEJ-0627-42-P 
Q1         SOT23-3             48.8596mm      65.872mm     48.8596mm      65.872mm     49.8096mm      64.812mm  B         90.00 BC847CLT1G     
Q2         SOT23-3             52.0855mm     20.5663mm     52.0855mm     20.5663mm     51.1355mm     21.6263mm  B        270.00 BC847CLT1G     
Q3         SOT23-3             52.5733mm     10.7805mm     52.5733mm     10.7805mm     51.6233mm     11.8405mm  B        270.00 BC847CLT1G     
Q4         SOT23-3             52.5578mm      5.7956mm     52.5578mm      5.7956mm     51.6078mm      6.8556mm  B        270.00 BC847CLT1G     
Q5         SOT23-3             52.2328mm     14.6227mm     52.2328mm     14.6227mm     51.2828mm     15.6827mm  B        270.00 BC847CLT1G     
Q6         SOT23-3             68.3184mm     36.8234mm     68.3184mm     36.8234mm     67.2584mm     35.8734mm  B        360.00 BC847CLT1G     
R1         SMD_R(0402)         60.8556mm     12.0564mm     60.8556mm     12.0564mm     60.4236mm     12.0564mm  T        360.00 10k            
R2         SMD_R(0402)         60.8556mm     11.2182mm     60.8556mm     11.2182mm     60.4236mm     11.2182mm  T        360.00 10k            
R3         SMD_R(0402)         68.2978mm     18.6604mm     68.2978mm     18.6604mm     68.2978mm     19.0924mm  T        270.00 374k           
R4         SMD_R(0402)          67.461mm     18.6602mm      67.461mm     18.6602mm      67.461mm     18.2282mm  T         90.00 56k            
R5         SMD_R(0402)         68.0692mm       8.983mm     68.0692mm       8.983mm     67.6372mm       8.983mm  T        360.00 10k            
R6         SMD_R(0402)         60.9064mm      9.2624mm     60.9064mm      9.2624mm     61.3384mm      9.2624mm  T        180.00 3.3k           
R7         SMD_R(0402)         68.0692mm      8.1194mm     68.0692mm      8.1194mm     67.6372mm      8.1194mm  T        360.00 2.2k           
R8         SMD_R(0402)         68.0692mm      7.2558mm     68.0692mm      7.2558mm     67.6372mm      7.2558mm  T        360.00 47k            
R9         SMD_R(0402)          73.627mm     47.3898mm      73.627mm     47.3898mm      73.627mm     47.8218mm  T        270.00 2.2k           
R10        SMD_R(0402)         59.8348mm     45.3578mm     59.8348mm     45.3578mm     59.8348mm     44.9258mm  T         90.00 2.2k           
R11        SMD_R(0402)         57.5488mm     45.3578mm     57.5488mm     45.3578mm     57.5488mm     45.7898mm  T        270.00 10k            
R12        SMD_R(0402)         56.7944mm     48.6056mm     56.7944mm     48.6056mm     56.3624mm     48.6056mm  T        360.00 22R            
R13        SMD_R(0402)         56.5074mm     50.9712mm     56.5074mm     50.9712mm     56.0754mm     50.9712mm  T        360.00 22R            
R14        SMD_R(0402)          23.368mm      1.7272mm      23.368mm      1.7272mm        23.8mm      1.7272mm  T        180.00 1k             
R15        SMD_R(0402)           58.01mm      5.9944mm       58.01mm      5.9944mm       58.01mm      6.4264mm  B        270.00 330R           
R16        SMD_R(0402)         59.3522mm      53.943mm     59.3522mm      53.943mm     59.7842mm      53.943mm  T        180.00 10k            
R17        SMD_R(0402)         59.3522mm     54.7812mm     59.3522mm     54.7812mm     59.7842mm     54.7812mm  T        180.00 10k            
R18        SMD_R(0603)           30.73mm      65.491mm       30.73mm      65.491mm       30.73mm     66.2022mm  B        270.00 3R/0.25W       
R19        SMD_R(0402)         22.1805mm     25.8035mm     22.1805mm     25.8035mm     21.7485mm     25.8035mm  B        360.00 47k            
R20        SMD_R(0402)         23.3172mm     65.3796mm     23.3172mm     65.3796mm     23.3172mm     64.9476mm  B         90.00 10k            
R21        SMD_R(0402)         48.9699mm     62.4952mm     48.9699mm     62.4952mm     48.9699mm     62.9272mm  B        270.00 1k             
R22        SMD_R(0402)         43.3785mm     22.4284mm     43.3785mm     22.4284mm     43.3785mm     21.9964mm  B         90.00 22R            
R23        SMD_R(0402)         40.8385mm     22.4284mm     40.8385mm     22.4284mm     40.8385mm     21.9964mm  B         90.00 22R            
R24        SMD_R(0402)         49.8081mm     62.4952mm     49.8081mm     62.4952mm     49.8081mm     62.9272mm  B        270.00 10k            
R25        SMD_R(0402)         40.0003mm     22.4284mm     40.0003mm     22.4284mm     40.0003mm     21.9964mm  B         90.00 22R            
R26        SMD_R(0402)         58.5724mm     33.5788mm     58.5724mm     33.5788mm     59.0044mm     33.5788mm  B        180.00 47k            
R27        SMD_R(0402)         21.6816mm     37.2594mm     21.6816mm     37.2594mm     21.2496mm     37.2594mm  B        360.00 10k            
R28        SMD_R(0402)         32.6531mm      1.2369mm     32.6531mm      1.2369mm     33.0851mm      1.2369mm  T        180.00 1k             
R29        SMD_R(0402)         42.1449mm      1.2877mm     42.1449mm      1.2877mm     42.5769mm      1.2877mm  T        180.00 1k             
R30        SMD_R(0402)          51.562mm      23.899mm      51.562mm      23.899mm       51.13mm      23.899mm  B        360.00 1k             
R31        SMD_R(0402)          51.562mm     23.0608mm      51.562mm     23.0608mm       51.13mm     23.0608mm  B        360.00 10k            
R32        SMD_R(0402)         50.1298mm      8.7098mm     50.1298mm      8.7098mm     50.5618mm      8.7098mm  B        180.00 1k             
R33        SMD_R(0402)         50.0536mm      4.3664mm     50.0536mm      4.3664mm     50.4856mm      4.3664mm  B        180.00 1k             
R34        SMD_R(0402)         50.1298mm       9.548mm     50.1298mm       9.548mm     50.5618mm       9.548mm  B        180.00 10k            
R35        SMD_R(0402)         50.0534mm      5.2046mm     50.0534mm      5.2046mm     50.4854mm      5.2046mm  B        180.00 10k            
R36        SMD_R(0402)         51.7248mm     18.2041mm     51.7248mm     18.2041mm     51.2928mm     18.2041mm  B        360.00 1k             
R37        SMD_R(0402)         51.7248mm     17.3405mm     51.7248mm     17.3405mm     51.2928mm     17.3405mm  B        360.00 10k            
R38        SMD_R(0402)         24.3994mm     44.1428mm     24.3994mm     44.1428mm     24.3994mm     44.5748mm  T        270.00 10k            
R39        SMD_R(0402)         24.5364mm     41.5798mm     24.5364mm     41.5798mm     24.5364mm     42.0118mm  T        270.00 10k            
R40        SMD_R(0402)         23.7136mm     41.5774mm     23.7136mm     41.5774mm     23.7136mm     41.1454mm  T         90.00 330R           
R41        SMD_R(0402)         23.5612mm     44.1428mm     23.5612mm     44.1428mm     23.5612mm     43.7108mm  T         90.00 330R           
R42        SMD_R(0402)         75.9616mm      62.638mm     75.9616mm      62.638mm     76.3936mm      62.638mm  T        180.00 2.2k           
R43        SMD_R(0402)         74.9224mm     39.6174mm     74.9224mm     39.6174mm     75.3544mm     39.6174mm  T        180.00 0R             
R44        SMD_R(0402)         75.4534mm     59.5138mm     75.4534mm     59.5138mm     75.0214mm     59.5138mm  T        360.00 2.2k           
R46        SMD_R(0402)         71.3232mm     65.9986mm     71.3232mm     65.9986mm     70.8912mm     65.9986mm  B        360.00 10k            
R47        SMD_R(0402)          21.707mm     22.7306mm      21.707mm     22.7306mm      22.139mm     22.7306mm  B        180.00 33k            
